ActivityID,CustomerID,Type,StartTime,EndTime,Duration,StartCondition,StartLocation,EndCondition,Notes
31,10,Sleep,2025-04-20 02:13:00,2025-04-20 05:45:00,212,,,,
30,10,Feed,2025-04-20 05:45:00,,,Breast Milk,Bottle,78ml,
29,10,Pump,2025-04-20 05:50:00,2025-04-20 06:00:00,10,40ml,,75ml,
28,10,Sleep,2025-04-20 06:15:00,2025-04-20 09:35:00,200,,,,
27,10,Feed,2025-04-20 09:40:00,,,Breast Milk,Bottle,68ml,
26,10,Diaper,2025-04-20 10:00:00,,,,,"Both, pee:small poo:large",
288,10,Sleep,2025-04-20 10:35:09,2025-04-20 11:20:09,45,,,,
25,10,Diaper,2025-04-20 11:25:00,,,,,Pee:medium,
289,10,Sleep,2025-04-20 11:30:43,2025-04-20 12:20:43,50,,,,
24,10,Pump,2025-04-20 12:10:00,2025-04-20 12:20:00,10,40ml,,80ml,
23,10,Feed,2025-04-20 12:21:00,,,Breast Milk,Bottle,60ml,
290,10,Sleep,2025-04-20 12:40:12,2025-04-20 16:20:12,220,,,,
293,10,Diaper,2025-04-20 16:20:37,,,,,"Both, pee:Medium poo:Small",
291,10,Feed,2025-04-20 16:25:01,,,Breast Milk,Bottle,60ml,
294,10,Diaper,2025-04-20 17:00:02,,,,,poo:Medium,
297,10,Sleep,2025-04-20 18:09:45,2025-04-20 21:45:45,216,,,,
296,10,Pump,2025-04-20 18:20:50,2025-04-20 18:30:50,10,40ml,,80ml,
295,10,Diaper,2025-04-20 18:30:17,,,,,"Both, pee:Small poo:Small",
292,10,Feed,2025-04-20 18:40:15,,,Breast Milk,Bottle,60ml,
298,10,Pump,2025-04-20 21:33:37,2025-04-20 21:43:37,10,40ml,,60ml,
299,10,Feed,2025-04-20 22:00:34,,,Breast Milk,Bottle,80ml,
302,10,Diaper,2025-04-20 22:14:02,,,,,"Both, pee:Medium poo:Small",
306,10,Sleep,2025-04-20 22:30:42,2025-04-21 01:50:42,200,,,,
304,10,Pump,2025-04-21 01:40:11,2025-04-21 01:50:11,10,45ml,,80ml,
305,10,Feed,2025-04-21 01:50:08,,,Breast Milk,Bottle,80ml,
312,10,Sleep,2025-04-21 02:20:08,2025-04-21 05:40:08,200,,,,
307,10,Pump,2025-04-21 05:38:32,2025-04-21 05:48:32,10,50ml,,70ml,
308,10,Feed,2025-04-21 05:40:57,,,Breast Milk,Bottle,75ml,
309,10,Diaper,2025-04-21 06:45:56,,,,,"Both, pee:Small poo:Small",
311,10,Sleep,2025-04-21 06:49:03,2025-04-21 09:01:03,132,,,,
310,10,Feed,2025-04-21 09:10:21,,,Breast Milk,Bottle,80ml,
313,10,Pump,2025-04-21 09:30:19,2025-04-21 09:40:19,10,60ml,,60ml,
314,10,Sleep,2025-04-21 09:30:46,2025-04-21 12:43:46,193,,,,
315,10,Diaper,2025-04-21 12:48:28,,,,,"Both, pee:Medium poo:Medium",
316,10,Feed,2025-04-21 12:50:18,,,Breast Milk,Bottle,75ml,
320,10,Sleep,2025-04-21 13:50:02,2025-04-21 17:10:02,200,,,,
318,10,Pump,2025-04-21 14:38:56,2025-04-21 14:48:56,10,50ml,,70ml,
319,10,Diaper,2025-04-21 15:15:08,,,,,"Both, pee:Small poo:Medium",
321,10,Feed,2025-04-21 17:13:25,,,Breast Milk,Bottle,65ml,
344,10,Sleep,2025-04-21 17:30:56,2025-04-21 21:00:56,210,,,,
336,10,Pump,2025-04-21 19:20:14,2025-04-21 19:30:14,10,43ml,,60ml,
343,10,Feed,2025-04-21 21:10:27,,,Breast Milk,Bottle,80,
346,10,Pump,2025-04-21 21:30:28,2025-04-21 21:40:28,10,45ml,,60ml,
345,10,Diaper,2025-04-21 21:35:58,,,,,"Both, pee:Medium poo:Small",
383,10,Sleep,2025-04-21 22:00:37,2025-04-22 01:45:25,224,,,,
349,10,Feed,2025-04-22 01:46:40,,,Breast Milk,Bottle,80ml,
347,10,Pump,2025-04-22 01:46:44,2025-04-22 01:57:44,11,40ml,,65ml,
348,10,Diaper,2025-04-22 02:00:13,,,,,"Both, pee:Small poo:Medium",
360,10,Sleep,2025-04-22 02:18:22,2025-04-22 06:12:06,233,,,,
351,10,Pump,2025-04-22 05:43:45,2025-04-22 05:54:45,11,38ml,,67ml,
350,10,Feed,2025-04-22 06:18:50,,,Breast Milk,Bottle,80ml,
353,10,Diaper,2025-04-22 06:43:14,,,,,"Both, pee:Medium poo:Small",
354,10,Diaper,2025-04-22 07:06:36,,,,,poo:Medium,
361,10,Sleep,2025-04-22 08:10:22,2025-04-22 09:30:35,80,,,,
352,10,Pump,2025-04-22 09:00:02,2025-04-22 09:10:02,10,40ml,,50ml,
355,10,Feed,2025-04-22 09:30:51,,,Breast Milk,Bottle,80ml,
367,10,Sleep,2025-04-22 10:00:47,2025-04-22 13:50:14,229,,,,
368,10,Pump,2025-04-22 13:40:03,2025-04-22 13:50:03,10,50ml,,60ml,
369,10,Feed,2025-04-22 13:55:47,,,Breast Milk,Bottle,76ml,
370,10,Diaper,2025-04-22 14:15:36,,,,,"Both, pee:Big poo:Big",
371,10,Sleep,2025-04-22 14:35:47,2025-04-22 17:00:55,145,,,,
372,10,Feed,2025-04-22 17:05:01,,,Breast Milk,Bottle,80ml,
374,10,Pump,2025-04-22 17:10:25,2025-04-22 17:20:25,10,45ml,,70ml,
375,10,Sleep,2025-04-22 18:00:47,2025-04-22 19:10:51,70,,,,
373,10,Feed,2025-04-22 19:15:16,,,Breast Milk,Bottle,60ml,
376,10,Sleep,2025-04-22 19:40:47,2025-04-22 20:45:13,64,,,,
378,10,Diaper,2025-04-22 20:00:09,,,,,poo:Medium,
377,10,Pump,2025-04-22 20:35:37,2025-04-22 20:45:37,10,45ml,,60ml,
379,10,Diaper,2025-04-22 20:46:41,,,,,"Both, pee:Small poo:Small",
380,10,Feed,2025-04-22 20:53:57,,,Breast Milk,Bottle,60ml,
382,10,Sleep,2025-04-22 21:10:37,2025-04-23 00:30:03,199,,,,
388,10,Diaper,2025-04-23 00:30:19,,,,,pee:Small,
384,10,Pump,2025-04-23 00:30:35,2025-04-23 00:40:35,10,45ml,,60ml,
386,10,Feed,2025-04-23 00:34:43,,,Breast Milk,Bottle,87ml,
387,10,Sleep,2025-04-23 01:20:37,2025-04-23 05:20:27,239,,,,
385,10,Pump,2025-04-23 04:45:56,2025-04-23 04:55:56,10,42ml,,52ml,
381,10,Feed,2025-04-23 05:45:21,,,Breast Milk,Bottle,65ml,
389,10,Diaper,2025-04-23 06:30:27,,,,,"Both, pee:Medium poo:Medium",
